event_id,user_id,event_date,channel,device,funnel_stage,product_category,spent_time_seconds,action_outcome
185,91057,2023-01-15,Email,Mobile,Landing Page,Beauty,10,progress
186,48974,2023-02-25,Email,Mobile,Product View,Sports,137,purchase
187,91399,2023-01-04,Website,Desktop,Product View,Toys,57,drop_off
188,37659,2023-01-17,Website,Desktop,Checkout,Fashion,149,progress
189,32782,2023-02-05,Website,Desktop,Landing Page,Electronics,5,purchase
190,63545,2023-01-29,Email,Mobile,Add to Cart,Electronics,292,progress
191,40340,2023-01-19,Social Media,Tablet,Landing Page,Beauty,43,progress
192,19329,2023-02-13,Mobile App,Mobile,Product View,Toys,122,drop_off
193,87304,2023-02-12,Mobile App,Mobile,Landing Page,Electronics,58,purchase
194,81376,2023-01-15,Mobile App,Mobile,Landing Page,Fashion,255,progress
195,19359,2023-01-04,Mobile App,Mobile,Landing Page,Sports,211,drop_off
196,84607,2023-02-28,Social Media,Mobile,Add to Cart,Electronics,79,progress
197,71433,2023-02-14,Social Media,Tablet,Landing Page,Beauty,256,purchase
198,45683,2023-02-02,Email,Mobile,Add to Cart,Electronics,290,drop_off
199,88385,2023-01-03,Email,Tablet,Landing Page,Home,253,progress
200,89129,2023-01-17,Website,Desktop,Checkout,Fashion,34,drop_off
201,98381,2023-02-23,Website,Tablet,Payment,Home,137,purchase
202,85529,2023-01-03,Mobile App,Mobile,Product View,Sports,277,progress
203,95394,2023-01-29,Social Media,Desktop,Product View,Sports,38,progress
204,67132,2023-02-10,Email,Desktop,Landing Page,Beauty,130,progress
205,55607,2023-01-27,Social Media,Mobile,Landing Page,Toys,115,progress
206,23710,2023-02-24,Mobile App,Mobile,Landing Page,Beauty,99,progress
207,74942,2023-01-19,Email,Tablet,Add to Cart,Electronics,188,progress
208,69614,2023-01-06,Social Media,Mobile,Payment,Home,159,purchase
209,25194,2023-02-19,Email,Tablet,Landing Page,Electronics,126,progress
210,96200,2023-02-25,Email,Mobile,Checkout,Electronics,96,progress
211,34586,2023-02-03,Social Media,Tablet,Landing Page,Beauty,5,progress
212,91973,2023-01-29,Website,Desktop,Product View,Home,50,progress
213,81987,2023-01-09,Social Media,Mobile,Product View,Toys,77,progress
214,73532,2023-01-08,Website,Tablet,Product View,Sports,218,progress
215,41365,2023-02-15,Mobile App,Mobile,Payment,Sports,52,progress
216,11792,2023-02-05,Email,Desktop,Landing Page,Fashion,261,progress
217,24871,2023-01-30,Website,Tablet,Product View,Fashion,184,progress
218,75323,2023-02-15,Social Media,Tablet,Product View,Toys,218,progress
219,45838,2023-01-27,Email,Mobile,Checkout,Fashion,82,progress
220,69871,2023-02-05,Mobile App,Mobile,Add to Cart,Fashion,18,progress
221,88561,2023-02-02,Mobile App,Desktop,Landing Page,Home,7,drop_off
222,64387,2023-01-22,Social Media,Desktop,Product View,Home,243,progress
223,49132,2023-02-23,Email,Desktop,Payment,Beauty,298,purchase
224,80592,2023-01-31,Social Media,Mobile,Landing Page,Sports,123,progress
225,81228,2023-01-25,Email,Mobile,Landing Page,Fashion,277,progress
226,41300,2023-02-06,Email,Desktop,Landing Page,Beauty,29,drop_off
227,15720,2023-01-21,Email,Tablet,Product View,Beauty,72,progress
228,60604,2023-02-12,Mobile App,Mobile,Add to Cart,Electronics,150,progress
229,26547,2023-02-02,Social Media,Desktop,Product View,Beauty,38,progress
230,23069,2023-02-03,Email,Desktop,Product View,Toys,240,progress
231,28894,2023-01-27,Mobile App,Desktop,Landing Page,Beauty,10,drop_off
232,44737,2023-01-22,Email,Tablet,Add to Cart,Electronics,233,purchase
233,53065,2023-02-24,Email,Mobile,Landing Page,Toys,281,progress
234,73956,2023-02-25,Website,Tablet,Landing Page,Electronics,8,drop_off
235,40771,2023-02-10,Social Media,Desktop,Landing Page,Toys,99,progress
236,21846,2023-01-28,Website,Tablet,Checkout,Toys,247,progress
237,23173,2023-01-29,Mobile App,Tablet,Add to Cart,Home,227,drop_off
238,13794,2023-01-03,Social Media,Desktop,Product View,Home,79,drop_off
239,56984,2023-01-24,Email,Desktop,Checkout,Fashion,98,progress
240,79621,2023-01-27,Mobile App,Desktop,Add to Cart,Fashion,198,drop_off
241,20350,2023-02-09,Email,Tablet,Product View,Toys,177,drop_off
242,41566,2023-02-01,Mobile App,Desktop,Landing Page,Beauty,122,progress
243,93611,2023-01-17,Email,Mobile,Landing Page,Toys,24,progress
244,11231,2023-02-27,Email,Mobile,Landing Page,Toys,94,drop_off
245,81643,2023-01-11,Website,Mobile,Landing Page,Home,143,drop_off
246,87014,2023-01-20,Email,Tablet,Landing Page,Home,263,progress
247,69878,2023-02-24,Social Media,Desktop,Landing Page,Beauty,14,progress
248,73335,2023-01-07,Mobile App,Mobile,Product View,Sports,17,progress
249,57049,2023-02-06,Social Media,Tablet,Landing Page,Home,105,progress
250,12875,2023-02-23,Email,Mobile,Landing Page,Electronics,42,progress
251,84177,2023-02-25,Website,Tablet,Landing Page,Toys,73,drop_off
252,75107,2023-02-23,Social Media,Desktop,Confirmation,Sports,141,progress
253,56179,2023-01-15,Mobile App,Tablet,Product View,Home,5,progress
254,98835,2023-02-18,Mobile App,Tablet,Product View,Electronics,271,drop_off
255,92242,2023-02-11,Website,Mobile,Landing Page,Beauty,290,drop_off
256,14373,2023-02-07,Social Media,Tablet,Landing Page,Fashion,82,progress
257,21813,2023-02-28,Social Media,Mobile,Product View,Toys,241,progress
258,64460,2023-01-12,Mobile App,Desktop,Add to Cart,Sports,299,drop_off
259,57953,2023-02-03,Social Media,Desktop,Payment,Home,129,drop_off
260,73156,2023-02-21,Social Media,Tablet,Add to Cart,Home,147,drop_off
261,25095,2023-01-30,Website,Desktop,Product View,Fashion,108,progress
262,98647,2023-02-16,Email,Tablet,Product View,Home,202,drop_off
263,21836,2023-02-20,Email,Desktop,Add to Cart,Home,46,progress
264,80329,2023-01-08,Email,Mobile,Checkout,Toys,161,progress
265,98125,2023-01-17,Email,Tablet,Add to Cart,Home,161,progress
266,24201,2023-02-13,Mobile App,Mobile,Landing Page,Electronics,293,progress
267,91205,2023-02-26,Social Media,Tablet,Product View,Fashion,14,progress
268,94889,2023-01-05,Email,Tablet,Checkout,Home,122,drop_off
269,95097,2023-01-27,Website,Desktop,Landing Page,Electronics,232,progress
270,14877,2023-01-20,Email,Desktop,Add to Cart,Electronics,19,drop_off
271,40775,2023-02-26,Mobile App,Mobile,Landing Page,Beauty,51,progress
272,58629,2023-02-12,Email,Tablet,Checkout,Toys,99,drop_off
273,30253,2023-02-26,Email,Tablet,Product View,Electronics,286,progress
274,74139,2023-02-09,Email,Mobile,Landing Page,Electronics,15,purchase
275,58566,2023-01-14,Email,Mobile,Landing Page,Fashion,138,progress
276,57537,2023-01-07,Social Media,Tablet,Product View,Toys,222,progress
277,57012,2023-01-04,Email,Mobile,Product View,Fashion,115,progress
278,26011,2023-02-24,Email,Desktop,Product View,Toys,137,drop_off
279,37801,2023-02-11,Website,Desktop,Add to Cart,Home,110,drop_off
280,41925,2023-01-09,Mobile App,Desktop,Product View,Sports,55,progress
281,37152,2023-02-07,Mobile App,Desktop,Payment,Home,218,purchase
282,29340,2023-02-20,Website,Mobile,Landing Page,Fashion,105,purchase
283,27038,2023-02-04,Social Media,Desktop,Checkout,Electronics,186,drop_off
284,96646,2023-02-25,Website,Desktop,Landing Page,Electronics,59,progress
285,56955,2023-02-20,Mobile App,Tablet,Add to Cart,Home,141,progress
286,12068,2023-01-12,Social Media,Desktop,Checkout,Fashion,158,progress
287,65176,2023-02-03,Website,Tablet,Product View,Electronics,29,drop_off
288,72422,2023-01-29,Social Media,Tablet,Payment,Sports,214,drop_off
289,24293,2023-01-29,Mobile App,Tablet,Payment,Electronics,132,progress
290,96363,2023-02-03,Social Media,Mobile,Product View,Toys,183,progress
291,14082,2023-01-04,Email,Mobile,Product View,Beauty,184,progress
292,99928,2023-01-07,Email,Tablet,Payment,Beauty,181,purchase
293,19632,2023-02-27,Website,Mobile,Landing Page,Sports,158,progress
294,29442,2023-01-05,Mobile App,Mobile,Add to Cart,Sports,88,progress
295,92978,2023-02-07,Social Media,Mobile,Product View,Sports,67,purchase
296,79541,2023-01-19,Email,Tablet,Product View,Sports,261,progress
297,66387,2023-01-07,Website,Tablet,Product View,Toys,215,progress
298,82264,2023-02-16,Mobile App,Mobile,Product View,Beauty,290,drop_off
299,39949,2023-01-27,Social Media,Mobile,Product View,Beauty,261,drop_off
300,64524,2023-02-16,Website,Mobile,Product View,Beauty,198,progress
301,50963,2023-02-12,Social Media,Mobile,Product View,Fashion,226,progress
302,72163,2023-01-05,Website,Desktop,Landing Page,Electronics,268,drop_off
303,66606,2023-01-07,Social Media,Desktop,Payment,Sports,292,progress
304,17861,2023-02-07,Social Media,Tablet,Payment,Electronics,166,drop_off
305,63845,2023-01-23,Email,Tablet,Landing Page,Electronics,292,progress
306,47700,2023-02-08,Social Media,Mobile,Add to Cart,Electronics,251,progress
307,85748,2023-02-02,Mobile App,Desktop,Landing Page,Toys,259,progress
308,73201,2023-01-15,Website,Mobile,Landing Page,Sports,243,progress
309,58176,2023-01-08,Social Media,Tablet,Payment,Fashion,96,progress
310,66244,2023-02-24,Website,Tablet,Landing Page,Toys,100,purchase
311,45054,2023-01-02,Mobile App,Mobile,Add to Cart,Toys,169,progress
312,50499,2023-02-28,Social Media,Mobile,Product View,Electronics,11,progress
313,33777,2023-02-25,Mobile App,Tablet,Add to Cart,Toys,89,progress
314,62531,2023-01-05,Mobile App,Tablet,Landing Page,Toys,40,progress
315,14018,2023-01-06,Mobile App,Mobile,Add to Cart,Beauty,201,progress
316,69460,2023-01-22,Mobile App,Mobile,Landing Page,Home,199,progress
317,52517,2023-02-19,Website,Desktop,Landing Page,Fashion,265,progress
318,30632,2023-02-18,Website,Tablet,Checkout,Electronics,230,drop_off
319,45665,2023-01-29,Email,Mobile,Landing Page,Sports,284,progress
320,67939,2023-01-27,Social Media,Desktop,Product View,Sports,63,drop_off
321,24918,2023-01-23,Email,Desktop,Checkout,Home,213,progress
322,98895,2023-02-13,Email,Tablet,Product View,Toys,13,progress
323,50425,2023-01-03,Mobile App,Mobile,Add to Cart,Sports,205,progress
324,17180,2023-01-01,Mobile App,Mobile,Checkout,Fashion,8,progress
325,27987,2023-02-18,Social Media,Mobile,Payment,Home,102,progress
326,25726,2023-01-01,Email,Tablet,Landing Page,Beauty,150,progress
327,33028,2023-01-09,Email,Tablet,Checkout,Toys,45,progress
328,40161,2023-02-02,Social Media,Desktop,Product View,Beauty,157,progress
329,15544,2023-01-28,Website,Mobile,Add to Cart,Electronics,121,progress
330,51033,2023-02-06,Email,Tablet,Landing Page,Beauty,291,drop_off
331,93904,2023-01-27,Social Media,Desktop,Product View,Beauty,272,progress
332,12733,2023-01-21,Mobile App,Tablet,Product View,Beauty,177,drop_off
333,57428,2023-01-06,Email,Desktop,Product View,Fashion,194,progress
334,67104,2023-02-07,Email,Tablet,Landing Page,Electronics,197,progress
335,61873,2023-02-25,Social Media,Tablet,Add to Cart,Home,286,progress
336,39041,2023-01-22,Mobile App,Desktop,Checkout,Sports,15,progress
337,92998,2023-01-08,Mobile App,Mobile,Add to Cart,Home,299,drop_off
338,94599,2023-02-22,Mobile App,Desktop,Payment,Electronics,59,purchase
339,29194,2023-01-17,Mobile App,Desktop,Payment,Sports,73,drop_off
340,30036,2023-02-18,Website,Desktop,Landing Page,Toys,243,progress
341,74764,2023-01-30,Email,Tablet,Product View,Sports,205,drop_off
342,94278,2023-02-10,Social Media,Tablet,Landing Page,Home,205,progress
343,29786,2023-01-29,Website,Mobile,Product View,Beauty,65,progress
344,92756,2023-01-20,Social Media,Tablet,Product View,Electronics,43,progress
345,56129,2023-02-02,Website,Mobile,Landing Page,Beauty,112,progress
346,69233,2023-01-03,Website,Mobile,Landing Page,Home,16,progress
347,20057,2023-02-11,Website,Tablet,Landing Page,Sports,21,purchase
348,76462,2023-01-25,Email,Tablet,Product View,Sports,16,progress
349,15376,2023-01-29,Mobile App,Mobile,Payment,Sports,268,purchase
350,72341,2023-02-02,Mobile App,Desktop,Checkout,Beauty,202,purchase
351,23566,2023-02-21,Social Media,Tablet,Payment,Electronics,272,progress
352,76132,2023-02-11,Mobile App,Desktop,Confirmation,Fashion,30,progress
353,67377,2023-01-29,Mobile App,Mobile,Add to Cart,Home,203,purchase
354,47079,2023-01-25,Email,Mobile,Product View,Toys,90,drop_off
355,88366,2023-01-04,Social Media,Desktop,Landing Page,Home,121,progress
356,22387,2023-02-05,Email,Mobile,Landing Page,Home,219,drop_off
357,96057,2023-02-28,Mobile App,Mobile,Add to Cart,Electronics,107,progress
358,86380,2023-02-12,Mobile App,Mobile,Product View,Home,112,progress
359,95990,2023-02-14,Email,Desktop,Landing Page,Sports,297,progress
360,21104,2023-01-20,Email,Tablet,Product View,Home,43,progress
361,26750,2023-02-12,Website,Tablet,Product View,Toys,214,progress
362,65496,2023-02-02,Social Media,Desktop,Product View,Home,112,progress
363,50483,2023-01-12,Mobile App,Mobile,Landing Page,Beauty,174,purchase
364,35166,2023-01-15,Mobile App,Desktop,Landing Page,Electronics,273,progress
365,48770,2023-02-24,Website,Tablet,Payment,Sports,231,progress
366,79013,2023-01-03,Social Media,Tablet,Landing Page,Fashion,33,drop_off
367,88282,2023-01-25,Mobile App,Desktop,Product View,Fashion,249,progress
368,91885,2023-02-21,Mobile App,Tablet,Product View,Beauty,240,purchase
369,15726,2023-01-27,Social Media,Tablet,Checkout,Toys,69,progress
370,41133,2023-01-29,Social Media,Tablet,Landing Page,Beauty,146,progress
371,40671,2023-02-04,Mobile App,Mobile,Payment,Beauty,150,progress
372,35430,2023-01-24,Email,Mobile,Landing Page,Home,197,drop_off
373,60052,2023-02-02,Email,Desktop,Landing Page,Fashion,144,purchase
374,89254,2023-01-09,Social Media,Desktop,Checkout,Toys,202,purchase
375,72991,2023-02-25,Social Media,Tablet,Payment,Electronics,15,purchase
376,77621,2023-02-24,Website,Mobile,Confirmation,Electronics,203,purchase
377,31012,2023-01-18,Email,Tablet,Landing Page,Fashion,152,drop_off
378,67340,2023-01-06,Mobile App,Mobile,Landing Page,Home,247,progress
379,13495,2023-01-27,Website,Mobile,Landing Page,Sports,230,progress
380,59015,2023-01-16,Email,Desktop,Landing Page,Home,263,drop_off
381,39430,2023-01-02,Social Media,Desktop,Checkout,Toys,58,purchase
382,95191,2023-01-22,Mobile App,Desktop,Payment,Electronics,103,purchase
